text,link,state,contributors,text_cleaned
👀 PR #56 Updated design role evaluation criteria and its guideline (DoParkEQ),https://github.com/EQWorks/ws-problems/pull/56,needs review,DoParkEQ, Updated design role evaluation criteria and its guideline
⚠️ PR #68 widgets playground - flow selector for barChart (tlowande),https://github.com/EQWorks/ml-ui/pull/68,wip,tlowande, widgets playground - flow selector for barChart
⚠️ PR #67 Pro mode - support query create/edit via pro-mode textfield (hyx131)Issue #65 proMode - sync,https://github.com/EQWorks/ml-ui/pull/67,wip,hyx131, Pro mode - support query create/edit via pro-mode textfield (hyx131)Issue proMode -
⚠️ PR #10 ff - outro (woozyking),https://github.com/EQWorks/python-curriculum/pull/10,wip,woozyking, ff - outro
"✔️ PR #9 03 - 3/3 classes, pandas (dataframes) (woozyking)",https://github.com/EQWorks/python-curriculum/pull/9,done,woozyking," 03 - 3/3 classes, pandas (dataframes)"
"👀 PR #12 Upgrade @material-ui, @eqworks/lumen-ui packages (geoerika)",https://github.com/EQWorks/lumen-table/pull/12,needs review,geoerika," Upgrade @material-ui, @eqworks/lumen-ui packages"
✔️ PR #11 consistent filter position in a smaller table (DoParkEQ),https://github.com/EQWorks/lumen-table/pull/11,done,DoParkEQ, consistent filter position in a smaller table
✔️ PR #9 Enable table heads to take a fixed amount of space (DoParkEQ)Issue #8 Table styling enhancementIssue #10 Optional toolbar,https://github.com/EQWorks/lumen-table/pull/9,done,DoParkEQ, Enable table heads to take a fixed amount of space (DoParkEQ)Issue Table styling enhancementIssue Optional
⚠️ PR #52 Package change (geoerika),https://github.com/EQWorks/poi-manage/pull/52,wip,geoerika, Package change
"✔️ PR #51 Upgrade material-ui, react-maps; replace react-labs with lumen-ui; move ThemeProvider to storybook; auto set activePOI for one POI list (geoerika)",https://github.com/EQWorks/poi-manage/pull/51,done,geoerika," Upgrade material-ui, react-maps; replace react-labs with lumen-ui; move ThemeProvider to storybook; auto set activePOI for one POI list"
⚠️ PR #31 Material UI upgrade (geoerika),https://github.com/EQWorks/omni-search/pull/31,wip,geoerika, Material UI upgrade
✔️ PR #5 Package - changed to v1.0.1 (geoerika),https://github.com/EQWorks/lumen-ui/pull/5,done,geoerika, Package - changed to v1.0.1
✔️ PR #4 Upgrade material-ui packages; fix warnings after upgrade (geoerika),https://github.com/EQWorks/lumen-ui/pull/4,done,geoerika, Upgrade material-ui packages; fix warnings after upgrade
✔️ PR #58 Material-ui upgrade; replace react-labs with lumen-ui; minor styling change in POIMap/POITooltip; fix deck error (geoerika),https://github.com/EQWorks/react-maps/pull/58,done,geoerika, Material-ui upgrade; replace react-labs with lumen-ui; minor styling change in POIMap/POITooltip; fix deck error
✔️ PR #2 API endpoints meta table (woozyking),https://github.com/EQWorks/smaug/pull/2,done,woozyking, API endpoints meta table
✔️ PR #933 builder - upgrade version (tlowande),https://github.com/EQWorks/snoke/pull/933,done,tlowande, builder - upgrade version
✔️ PR #932 Home - read wl/cu from url and populate dropdowns (tlowande),https://github.com/EQWorks/snoke/pull/932,done,tlowande, Home - read wl/cu from url and populate dropdowns
"✔️ PR #931 builder - hide preprocess jobs view/edit, friendlier generic job type names (woozyking)",https://github.com/EQWorks/snoke/pull/931,done,woozyking," builder - hide preprocess jobs view/edit, friendlier generic job type names"
✔️ PR #928 Finance - smaug daily API consumption report (woozyking),https://github.com/EQWorks/snoke/pull/928,done,woozyking, Finance - smaug daily API consumption report
👀 PR #13 Google analytics 4 connector (supuntennakoon),https://github.com/EQWorks/connector-google-analytics/pull/13,needs review,supuntennakoon, Google analytics 4 connector
👀 PR #11 Supun tests (supuntennakoon),https://github.com/EQWorks/connector-google-analytics/pull/11,needs review,supuntennakoon, Supun tests
✔️ PR #9 Google analytics supun (wwwmonsterlam),https://github.com/EQWorks/connector-google-analytics/pull/9,done,wwwmonsterlam, Google analytics supun
✔️ PR #7 User scope (dilanSuraj),https://github.com/EQWorks/connector-google-analytics/pull/7,done,dilanSuraj, User scope
✔️ PR #56 Feature/native df compatibility (bsandi1220),https://github.com/EQWorks/locussdk/pull/56,done,bsandi1220, Feature/native df compatibility
✔️ PR #55 Feature/native df compatibility (bsandi1220),https://github.com/EQWorks/locussdk/pull/55,done,bsandi1220, Feature/native df compatibility
👀 PR #54 Save dataset as hub connection (maluhoss),https://github.com/EQWorks/locussdk/pull/54,needs review,maluhoss, Save dataset as hub connection
✔️ PR #53 AOI - Change routes to use query params for source_id (maluhoss),https://github.com/EQWorks/locussdk/pull/53,done,maluhoss, AOI - Change routes to use query params for source_id
✔️ PR #52 create_segment - add method to process audience and push segment (bsandi1220),https://github.com/EQWorks/locussdk/pull/52,done,bsandi1220, create_segment - add method to process audience and push segment
✔️ PR #51 Add Geocoding Util (maluhoss),https://github.com/EQWorks/locussdk/pull/51,done,maluhoss, Add Geocoding Util
✔️ PR #16 devops -update notebook image (bsandi1220),https://github.com/EQWorks/JupyterHub/pull/16,done,bsandi1220, devops -update notebook image
✔️ PR #24 flow/utils - support lookalike segments and default values (tlowande),https://github.com/EQWorks/snoke-builder-viz/pull/24,done,tlowande, flow/utils - support lookalike segments and default values
✔️ PR #20 Exp autosize (DoParkEQ),https://github.com/EQWorks/snoke-builder-viz/pull/20,done,DoParkEQ, Exp autosize
✔️ PR #495 Use query params instead of route params for dataset AOI routes (maluhoss),https://github.com/EQWorks/firstorder/pull/495,done,maluhoss, Use query params instead of route params for dataset AOI routes
✔️ PR #494 Add geocoding route (maluhoss),https://github.com/EQWorks/firstorder/pull/494,done,maluhoss, Add geocoding route
✔️ PR #493 expense - smaug daily report split by stage and enrich by meta (woozyking),https://github.com/EQWorks/firstorder/pull/493,done,woozyking, expense - smaug daily report split by stage and enrich by meta
✔️ PR #28 popular times - refactor segment to use datapipeline jobs table (bsandi1220),https://github.com/EQWorks/EnrichData/pull/28,done,bsandi1220, popular times - refactor segment to use datapipeline jobs table
⚠️ PR #5 widget editor (DoParkEQ),https://github.com/EQWorks/snoke-dashboard/pull/5,wip,DoParkEQ, widget editor
👀 PR #14 Asana/vacays (woozyking),https://github.com/EQWorks/updates/pull/14,needs review,woozyking, Asana/vacays
⚠️ PR #69 journal - setup asana oauth flow via slack modal (hyx131),https://github.com/EQWorks/legion/pull/69,wip,hyx131, journal - setup asana oauth flow via slack modal
⚠️ PR #1 Create new note in Hugo meetings with slack digest file link (geoerika),https://github.com/EQWorks/hugo-chores/pull/1,wip,geoerika, Create new note in Hugo meetings with slack digest file link
✔️ PR #33 common/baseHandler - filter out revert commits (tlowande),https://github.com/EQWorks/release/pull/33,done,tlowande, common/baseHandler - filter out revert commits
⚠️ PR #32 nlp/label - 2021-Feb batch (woozyking),https://github.com/EQWorks/release/pull/32,wip,woozyking, nlp/label - 2021-Feb batch
⚠️ PR #1803 LocusPOI fix (geoerika),https://github.com/EQWorks/overlord/pull/1803,wip,geoerika, LocusPOI fix
